0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:11:25 +0900] "GET /myapp/member/delete.do?userid=bbcc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:11:25 +0900] "GET /myapp/ HTTP/1.1" 200 14208
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:11:39 +0900] "GET /myapp/member/logout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:11:39 +0900] "GET /myapp/ HTTP/1.1" 200 14626
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:13:59 +0900] "GET /myapp/ HTTP/1.1" 200 14626
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:14:00 +0900] "GET /myapp/member/loginForm.do HTTP/1.1" 200 4083
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:14:05 +0900] "POST /myapp/member/signin.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:14:05 +0900] "GET /myapp/ HTTP/1.1" 200 14792
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:14:26 +0900] "GET /myapp/ HTTP/1.1" 200 14786
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:14:27 +0900] "GET /myapp/ HTTP/1.1" 200 14786
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:15:21 +0900] "GET /myapp/ HTTP/1.1" 200 14792
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:15:21 +0900] "GET /myapp/ HTTP/1.1" 200 14792
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:15:23 +0900] "GET /myapp/ HTTP/1.1" 200 14792
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:16:21 +0900] "GET /myapp/member/read.do HTTP/1.1" 200 11348
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:16:23 +0900] "GET /myapp/member/logout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:16:24 +0900] "GET /myapp/ HTTP/1.1" 200 14626
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:16:30 +0900] "GET /myapp/member/loginForm.do HTTP/1.1" 200 4083
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:16:40 +0900] "POST /myapp/member/signin.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:16:40 +0900] "GET /myapp/member/loginForm.do HTTP/1.1" 200 4083
